,date,result
0,2016-01-04,0.0
1,2016-01-05,0.0
2,2016-01-06,0.0
3,2016-01-07,0.0
4,2016-01-08,0.0
5,2016-01-11,0.0
6,2016-01-12,0.0
7,2016-01-13,0.0
8,2016-01-14,0.0
9,2016-01-15,0.0
10,2016-01-18,0.0
11,2016-01-19,1.0
12,2016-01-20,0.0
13,2016-01-21,0.0
14,2016-01-22,0.0
15,2016-01-25,0.0
16,2016-03-16,0.0
17,2016-03-18,0.0
18,2016-03-21,0.0
19,2016-03-22,0.0
20,2016-03-23,0.0
21,2016-03-24,0.0
22,2016-03-29,0.0
23,2016-03-30,0.0
24,2016-04-04,0.0
25,2016-04-05,0.0
26,2016-04-06,0.0
27,2016-04-07,0.0
28,2016-04-08,0.0
29,2016-04-11,0.0
30,2016-04-12,0.0
31,2016-05-09,0.0
32,2016-05-10,0.0
33,2016-05-11,0.0
34,2016-05-12,0.0
35,2016-05-13,0.0
36,2016-05-16,0.0
37,2016-05-17,0.0
38,2016-05-18,0.0
39,2016-05-19,0.0
40,2016-05-20,0.0
41,2016-05-23,0.0
42,2016-05-24,0.0
43,2016-05-25,0.0
44,2016-05-26,0.0
45,2016-05-27,0.0
46,2016-05-31,0.0
47,2016-06-02,0.0
48,2016-06-03,0.0
49,2016-06-06,0.0
